FISCAL YEAR,STATE,NET ACCURACY RATE,SAMPLING VARIABILITY (SV) PERCENT,COMMENTS
2015,KENTUCKY,98.10%,1.2,
2015,LOUISIANA,98.10%,1.17,
2015,MAINE,97.60%,1.29,
2015,MARYLAND,96.80%,1.54,
2015,MASSACHUSETTS,97.30%,1.36,
2015,MICHIGAN,96.80%,1.55,
2015,MINNESOTA,98.20%,1.13,
2015,MISSISSIPPI,96.30%,1.72,
2015,MISSOURI,98.40%,1.04,
2015,MONTANA,98.20%,1.07,
2015,NEBRASKA,98.20%,1.08,
2015,NEVADA,98.10%,1.12,
2015,NEW HAMPSHIRE,98.00%,1.14,
2015,NEW JERSEY,97.30%,1.37,
2015,NEW MEXICO,98.90%,0.82,
2015,NEW YORK,98.70%,0.96,
2015,NORTH CAROLINA,97.30%,1.48,
2015,NORTH DAKOTA,97.70%,1.15,
2015,OHIO,99.60%,UL* 99.9 - LL** 98.4,SV manually computed 
2015,OKLAHOMA,98.00%,1.22,
2015,OREGON,97.50%,1.34,
2015,PENNSYLVANIA,98.00%,1.24,
2015,PUERTO RICO,96.80%,1.44,
2015,RHODE ISLAND,99.20%,0.73,
2015,SOUTH CAROLINA,99.00%,0.89,
2015,SOUTH DAKOTA,98.40%,0.98,
2015,TENNESSEE,97.00%,1.55,
2015,TEXAS,97.20%,1.43,
2015,UTAH,98.20%,1.11,
2015,VERMONT,98.70%,0.89,
2015,VIRGINIA,97.80%,1.23,
2015,WASHINGTON,97.70%,1.26,
2015,WEST VIRGINIA,97.10%,1.49,
2015,WISCONSIN,97.10%,1.42,
2015,WYOMING,97.60%,1.1,
2015,NATIONAL,97.80%,0.26,
2016,ALABAMA,98.80%,0.95,
2016,ALASKA,97.90%,1.05,
2016,ARIZONA,98.10%,1.21,
2016,ARKANSAS,98.80%,0.93,
2016,CALIFORNIA,98.30%,1.1,
2016,COLORADO,97.70%,1.26,
2016,CONNECTICUT,96.90%,1.46,
2016,DELAWARE,97.50%,1.2,
2016,DIST OF COLUMBIA,97.90%,1.12,
2016,FLORIDA,98.00%,1.19,
2016,GEORGIA,97.80%,1.24,
2016,HAWAII,97.50%,1.27,
2016,IDAHO,97.80%,1.15,
2016,ILLINOIS,96.80%,1.48,
2016,INDIANA,97.80%,1.24,
2016,IOWA,97.90%,1.16,
2016,KANSAS,98.10%,1.08,
2016,KENTUCKY,98.10%,1.16,
2016,LOUISIANA,96.70%,1.45,
2016,MAINE,97.00%,1.39,
2016,MARYLAND,98.20%,1.11,
2016,MASSACHUSETTS,98.20%,1.07,
2016,MICHIGAN,98.10%,1.12,
2016,MINNESOTA,96.20%,1.58,
2016,MISSISSIPPI,97.60%,1.36,
2016,MISSOURI,98.30%,1.1,
2016,MONTANA,96.00%,1.53,
2016,NEBRASKA,98.50%,0.96,
2016,NEVADA,98.30%,1.05,
2016,NEW HAMPSHIRE,98.10%,1.04,
2016,NEW JERSEY,97.00%,1.4,
2016,NEW MEXICO,96.60%,1.49,
2016,NEW YORK,98.40%,1.03,
2016,NORTH CAROLINA,96.90%,1.52,
2016,NORTH DAKOTA,97.30%,1.18,
2016,OHIO,97.50%,1.3,
2016,OKLAHOMA,98.70%,0.96,
2016,OREGON,98.30%,1.06,
2016,PENNSYLVANIA,98.20%,1.09,
2016,PUERTO RICO,96.80%,1.35,
2016,RHODE ISLAND,97.30%,1.29,
2016,SOUTH CAROLINA,99.00%,0.85,
2016,SOUTH DAKOTA,97.80%,1.11,
2016,TENNESSEE,97.60%,1.33,
2016,TEXAS,96.80%,1.49,
2016,UTAH,97.60%,1.23,
2016,VERMONT,98.40%,0.95,
2016,VIRGINIA,98.10%,1.12,
2016,WASHINGTON,97.70%,1.23,
2016,WEST VIRGINIA,97.30%,1.4,
2016,WISCONSIN,97.70%,1.23,
2016,WYOMING,97.70%,1.08,
2016,NATIONAL,97.80%,0.24,
2017,ALABAMA,97.80%,1.27,
2017,ALASKA,97.80%,1.14,
2017,ARIZONA,97.40%,1.36,
2017,ARKANSAS,97.50%,1.3,
2017,CALIFORNIA,96.60%,1.51,
2017,COLORADO,97.90%,1.17,
2017,CONNECTICUT,98.00%,1.15,
2017,DELAWARE,97.40%,1.22,
2017,DIST OF COLUMBIA,97.60%,1.16,
2017,FLORIDA,95.90%,1.64,
2017,GEORGIA,97.30%,1.36,
2017,HAWAII,97.00%,1.31,
2017,IDAHO,97.50%,1.21,
2017,ILLINOIS,96.50%,1.48,
2017,INDIANA,98.20%,1.14,
2017,IOWA,97.50%,1.24,
2017,KANSAS,99.20%,0.68,
2017,KENTUCKY,97.70%,1.26,
2017,LOUISIANA,97.20%,1.31,
2017,MAINE,98.30%,0.83,
2017,MARYLAND,98.70%,0.94,
2017,MASSACHUSETTS,96.10%,1.53,
2017,MICHIGAN,98.60%,0.97,
2017,MINNESOTA,97.50%,1.25,
2017,MISSISSIPPI,97.60%,1.34,
2017,MISSOURI,97.30%,1.33,
2017,MONTANA,97.20%,1.28,
2017,NEBRASKA,97.60%,1.17,
2017,NEVADA,97.20%,1.36,
2017,NEW HAMPSHIRE,97.60%,1.17,
2017,NEW JERSEY,97.20%,1.32,
2017,NEW MEXICO,98.90%,0.85,
2017,NEW YORK,96.60%,1.47,
2017,NORTH CAROLINA,95.60%,1.8,
2017,NORTH DAKOTA,98.40%,0.89,
2017,OHIO,97.80%,1.2,
2017,OKLAHOMA,97.00%,1.45,
2017,OREGON,98.50%,0.99,
2017,PENNSYLVANIA,98.30%,1.06,
2017,PUERTO RICO,97.10%,1.28,
2017,RHODE ISLAND,97.40%,1.23,
2017,SOUTH CAROLINA,97.40%,1.31,
2017,SOUTH DAKOTA,97.80%,1.11,
2017,TENNESSEE,97.40%,1.35,
2017,TEXAS,97.30%,1.32,
2017,UTAH,97.40%,1.28,
2017,VERMONT,98.10%,0.99,
2017,VIRGINIA,97.20%,1.32,
2017,WASHINGTON,97.40%,1.28,
2017,WEST VIRGINIA,96.60%,1.51,
2017,WISCONSIN,98.70%,0.91,
2017,WYOMING,98.20%,0.91,
2017,NATIONAL,97.30%,0.27,
2018,ALABAMA,98.10%,1.14,
2018,ALASKA,97.80%,1.2,
2018,ARIZONA,96.90%,1.5,
2018,ARKANSAS,98.20%,1.11,
2018,CALIFORNIA,96.90%,1.47,
2018,COLORADO,98.50%,0.95,
2018,CONNECTICUT,97.40%,1.3,
2018,DELAWARE,97.70%,1.12,
2018,DIST OF COLUMBIA,98.00%,1.07,
2018,FLORIDA,98.10%,1.15,
2018,GEORGIA,96.90%,1.45,
2018,HAWAII,98.60%,0.9,
2018,IDAHO,97.50%,1.21,
2018,ILLINOIS,96.80%,1.46,
2018,INDIANA,96.50%,1.54,
2018,IOWA,98.90%,0.83,
2018,KANSAS,98.70%,0.87,
2018,KENTUCKY,97.70%,1.29,
2018,LOUISIANA,98.00%,1.12,
2018,MAINE,96.70%,1.45,
2018,MARYLAND,97.40%,1.32,
2018,MASSACHUSETTS,96.90%,1.37,
2018,MICHIGAN,98.00%,1.14,
2018,MINNESOTA,98.40%,1.02,
2018,MISSISSIPPI,97.70%,1.33,
2018,MISSOURI,97.90%,1.2,
2018,MONTANA,97.30%,1.23,
2018,NEBRASKA,98.60%,0.9,
2018,NEVADA,97.10%,1.38,
2018,NEW HAMPSHIRE,98.60%,0.89,
2018,NEW JERSEY,98.00%,1.13,
2018,NEW MEXICO,98.40%,1.01,
2018,NEW YORK,97.20%,1.34,
2018,NORTH CAROLINA,96.90%,1.43,
2018,NORTH DAKOTA,98.70%,0.79,
2018,OHIO,98.90%,0.85,
2018,OKLAHOMA,97.40%,1.37,
2018,OREGON,97.40%,1.28,
2018,PENNSYLVANIA,97.70%,1.24,
2018,PUERTO RICO,96.30%,2.08,
2018,RHODE ISLAND,97.40%,1.24,
2018,SOUTH CAROLINA,98.20%,1.11,
2018,SOUTH DAKOTA,97.10%,1.28,
2018,TENNESSEE,97.50%,1.36,
2018,TEXAS,97.30%,1.35,
2018,UTAH,98.20%,1.01,
2018,VERMONT,98.60%,0.87,
2018,VIRGINIA,97.90%,1.18,
2018,WASHINGTON,96.80%,1.44,
2018,WEST VIRGINIA,97.20%,1.38,
2018,WISCONSIN,97.80%,1.2,
2018,WYOMING,98.10%,0.94,
2018,NATIONAL,97.60%,0.26,
2019,ALABAMA,98.20%,1.12,
2019,ALASKA,98.10%,1.12,
2019,ARIZONA,97.10%,1.42,
2019,ARKANSAS,97.50%,1.3,
2019,CALIFORNIA,97.30%,1.34,
2019,COLORADO,97.40%,1.25,
2019,CONNECTICUT,98.30%,1.04,
2019,DELAWARE,97.30%,1.23,
2019,DIST OF COLUMBIA,98.30%,1.01,
2019,FLORIDA,97.60%,1.26,
2019,GEORGIA,96.10%,1.59,
2019,HAWAII,97.20%,1.29,
2019,IDAHO,98.30%,1.01,
